File_name;Red_mass;CM_energy;Rel_speed;Tot_sigma
dcsH1He0el_1000log10e_+3100.dat;7.4962491838E+8;1.2589254118E+3;5.4943167549E+7;1.6437638003E+1
dcsH1He0el_1000log10e_+3200.dat;7.4962491838E+8;1.5848931925E+3;6.1647247928E+7;1.3705859724E+1
dcsH1He0el_1000log10e_+3300.dat;7.4962491838E+8;1.9952623150E+3;6.9169349832E+7;1.1452306775E+1
dcsH1He0el_1000log10e_+3400.dat;7.4962491838E+8;2.5118864315E+3;7.7609286984E+7;9.5993133150E+0
dcsH1He0el_1000log10e_+3500.dat;7.4962491838E+8;3.1622776602E+3;8.7079052221E+7;8.0776265775E+0
dcsH1He0el_1000log10e_+3600.dat;7.4962491838E+8;3.9810717055E+3;9.7704303575E+7;6.8273337472E+0
dcsH1He0el_1000log10e_+3700.dat;7.4962491838E+8;5.0118723363E+3;1.0962603168E+8;5.7977513158E+0
dcsH1He0el_1000log10e_+3800.dat;7.4962491838E+8;6.3095734448E+3;1.2300243061E+8;4.9466980967E+0
dcsH1He0el_1000log10e_+3900.dat;7.4962491838E+8;7.9432823472E+3;1.3801099707E+8;4.2395199850E+0
dcsH1He0el_1000log10e_+4000.dat;7.4962491838E+8;1.0000000000E+4;1.5485088561E+8;3.6480448866E+0
dcsH1He0el_1000log10e_-0010.dat;7.4962491838E+8;9.7723722096E-1;1.5307832218E+6;2.2932224757E+2
dcsH1He0el_1000log10e_-0020.dat;7.4962491838E+8;9.5499258602E-1;1.5132604912E+6;2.3082890344E+2
dcsH1He0el_1000log10e_-0030.dat;7.4962491838E+8;9.3325430080E-1;1.4959383416E+6;2.3298221217E+2
dcsH1He0el_1000log10e_-0040.dat;7.4962491838E+8;9.1201083936E-1;1.4788144770E+6;2.3577453346E+2
dcsH1He0el_1000log10e_-0050.dat;7.4962491838E+8;8.9125093813E-1;1.4618866276E+6;2.3918886021E+2
dcsH1He0el_1000log10e_-0060.dat;7.4962491838E+8;8.7096358996E-1;1.4451525498E+6;2.4319089521E+2
dcsH1He0el_1000log10e_-0070.dat;7.4962491838E+8;8.5113803820E-1;1.4286100253E+6;2.4768689592E+2
dcsH1He0el_1000log10e_-0080.dat;7.4962491838E+8;8.3176377110E-1;1.4122568616E+6;2.5249385233E+2
dcsH1He0el_1000log10e_-0090.dat;7.4962491838E+8;8.1283051616E-1;1.3960908910E+6;2.5739883873E+2
dcsH1He0el_1000log10e_-0100.dat;7.4962491838E+8;7.9432823472E-1;1.3801099707E+6;2.6229894407E+2
dcsH1He0el_1000log10e_-0110.dat;7.4962491838E+8;7.7624711663E-1;1.3643119825E+6;2.6725789223E+2
dcsH1He0el_1000log10e_-0120.dat;7.4962491838E+8;7.5857757503E-1;1.3486948324E+6;2.7231635328E+2
dcsH1He0el_1000log10e_-0130.dat;7.4962491838E+8;7.4131024130E-1;1.3332564503E+6;2.7717580602E+2
dcsH1He0el_1000log10e_-0140.dat;7.4962491838E+8;7.2443596007E-1;1.3179947899E+6;2.8116438345E+2
dcsH1He0el_1000log10e_-0150.dat;7.4962491838E+8;7.0794578438E-1;1.3029078283E+6;2.8377774124E+2
dcsH1He0el_1000log10e_-0160.dat;7.4962491838E+8;6.9183097092E-1;1.2879935657E+6;2.8540016847E+2
dcsH1He0el_1000log10e_-0170.dat;7.4962491838E+8;6.7608297539E-1;1.2732500253E+6;2.8716846060E+2
dcsH1He0el_1000log10e_-0180.dat;7.4962491838E+8;6.6069344801E-1;1.2586752528E+6;2.8980057992E+2
dcsH1He0el_1000log10e_-0190.dat;7.4962491838E+8;6.4565422903E-1;1.2442673163E+6;2.9251581271E+2
dcsH1He0el_1000log10e_-0200.dat;7.4962491838E+8;6.3095734448E-1;1.2300243061E+6;2.9306118711E+2
dcsH1He0el_1000log10e_-0210.dat;7.4962491838E+8;6.1659500186E-1;1.2159443343E+6;2.8980285129E+2
dcsH1He0el_1000log10e_-0220.dat;7.4962491838E+8;6.0255958607E-1;1.2020255346E+6;2.8483416098E+2
dcsH1He0el_1000log10e_-0230.dat;7.4962491838E+8;5.8884365536E-1;1.1882660621E+6;2.8188524635E+2
dcsH1He0el_1000log10e_-0240.dat;7.4962491838E+8;5.7543993734E-1;1.1746640930E+6;2.8288604574E+2
dcsH1He0el_1000log10e_-0250.dat;7.4962491838E+8;5.6234132519E-1;1.1612178243E+6;2.8717201058E+2
dcsH1He0el_1000log10e_-0260.dat;7.4962491838E+8;5.4954087386E-1;1.1479254738E+6;2.9072568001E+2
dcsH1He0el_1000log10e_-0270.dat;7.4962491838E+8;5.3703179637E-1;1.1347852795E+6;2.8630506190E+2
dcsH1He0el_1000log10e_-0280.dat;7.4962491838E+8;5.2480746025E-1;1.1217954999E+6;2.7736642495E+2
