File_name;Red_mass;CM_energy;Rel_speed;Tot_sigma;Total_Probability
dcsH1He0el_1000log10e_+2900.dat;749624918.38;794.32823472;43642909.29;23.668649325;0.04904739722500056
dcsH1He0el_1000log10e_+3000.dat;749624918.38;1000.0;48968149.622;19.730883601;0.0408873557713457
dcsH1He0el_1000log10e_+3100.dat;749624918.38;1258.9254118;54943167.549;16.437638003;0.03406292220157797
dcsH1He0el_1000log10e_+3200.dat;749624918.38;1584.8931925;61647247.928;13.705859724;0.02840199020072999
dcsH1He0el_1000log10e_+3300.dat;749624918.38;1995.262315;69169349.832;11.452306775;0.0237320614211259
dcsH1He0el_1000log10e_+3400.dat;749624918.38;2511.8864315;77609286.984;9.599313315;0.019892192696891117
dcsH1He0el_1000log10e_+3500.dat;749624918.38;3162.2776602;87079052.221;8.0776265775;0.016738874869525928
dcsH1He0el_1000log10e_+3600.dat;749624918.38;3981.0717055;97704303.575;6.8273337472;0.014147953509661032
dcsH1He0el_1000log10e_+3700.dat;749624918.38;5011.8723363;109626031.68;5.7977513158;0.012014399634433397
dcsH1He0el_1000log10e_+3800.dat;749624918.38;6309.5734448;123002430.61;4.9466980967;0.010250803211010823
dcsH1He0el_1000log10e_+3900.dat;749624918.38;7943.2823472;138010997.07;4.239519985;0.008785352213908955
dcsH1He0el_1000log10e_+4000.dat;749624918.38;10000.0;154850885.61;3.6480448866;0.0075596669751117
dcsH1He0el_1000log10e_-0010.dat;749624918.38;0.97723722096;1530783.2218;229.32224757;0.4752134021105875
dcsH1He0el_1000log10e_-0020.dat;749624918.38;0.95499258602;1513260.4912;230.82890344;0.47833557219822376
dcsH1He0el_1000log10e_-0030.dat;749624918.38;0.9332543008;1495938.3416;232.98221217;0.4827977697312624
dcsH1He0el_1000log10e_-0040.dat;749624918.38;0.91201083936;1478814.477;235.77453346;0.48858416208554833
dcsH1He0el_1000log10e_-0050.dat;749624918.38;0.89125093813;1461886.6276;239.18886021;0.4956595062703267
dcsH1He0el_1000log10e_-0060.dat;749624918.38;0.87096358996;1445152.5498;243.19089521;0.5039527298361524
dcsH1He0el_1000log10e_-0070.dat;749624918.38;0.8511380382;1428610.0253;247.68689592;0.513269574651388
dcsH1He0el_1000log10e_-0080.dat;749624918.38;0.8317637711;1412256.8616;252.49385233;0.5232307979238754
dcsH1He0el_1000log10e_-0090.dat;749624918.38;0.81283051616;1396090.891;257.39883873;0.5333951640032661
dcsH1He0el_1000log10e_-0100.dat;749624918.38;0.79432823472;1380109.9707;262.29894407;0.543549415298099
dcsH1He0el_1000log10e_-0110.dat;749624918.38;0.77624711663;1364311.9825;267.25789223;0.5538256037227929
dcsH1He0el_1000log10e_-0120.dat;749624918.38;0.75857757503;1348694.8324;272.31635328;0.5643080078963375
dcsH1He0el_1000log10e_-0130.dat;749624918.38;0.7413102413;1333256.4503;277.17580602;0.5743780167744169
dcsH1He0el_1000log10e_-0140.dat;749624918.38;0.72443596007;1317994.7899;281.16438345;0.5826433528688281
dcsH1He0el_1000log10e_-0150.dat;749624918.38;0.70794578438;1302907.8283;283.77774124;0.5880588878179133
dcsH1He0el_1000log10e_-0160.dat;749624918.38;0.69183097092;1287993.5657;285.40016847;0.5914209652954149
dcsH1He0el_1000log10e_-0170.dat;749624918.38;0.67608297539;1273250.0253;287.1684606;0.5950853115502027
dcsH1He0el_1000log10e_-0180.dat;749624918.38;0.66069344801;1258675.2528;289.80057992;0.6005397251104764
dcsH1He0el_1000log10e_-0190.dat;749624918.38;0.64565422903;1244267.3163;292.51581271;0.6061663706947179
dcsH1He0el_1000log10e_-0200.dat;749624918.38;0.63095734448;1230024.3061;293.06118711;0.6072965236859532
dcsH1He0el_1000log10e_-0210.dat;749624918.38;0.61659500186;1215944.3343;289.80285129;0.6005444319606689
dcsH1He0el_1000log10e_-0220.dat;749624918.38;0.60255958607;1202025.5346;284.83416098;0.5902480553497242
dcsH1He0el_1000log10e_-0230.dat;749624918.38;0.58884365536;1188266.0621;281.88524635;0.5841371621908378
dcsH1He0el_1000log10e_-0240.dat;749624918.38;0.57543993734;1174664.093;282.88604574;0.5862110703615089
dcsH1He0el_1000log10e_-0250.dat;749624918.38;0.56234132519;1161217.8243;287.17201058;0.5950926680020565
dcsH1He0el_1000log10e_-0260.dat;749624918.38;0.54954087386;1147925.4738;290.72568001;0.6024567652830723
dcsH1He0el_1000log10e_-0270.dat;749624918.38;0.53703179637;1134785.2795;286.3050619;0.5932961321838197
dcsH1He0el_1000log10e_-0280.dat;749624918.38;0.52480746025;1121795.4999;277.36642495;0.5747730271634737
dcsH1He0el_1000log10e_-0290.dat;749624918.38;0.51286138399;1108954.413;272.72196545;0.5651485383781624
dcsH1He0el_1000log10e_-0300.dat;749624918.38;0.50118723363;1096260.3168;272.93780879;0.5655958200920441
dcsH1He0el_1000log10e_-0310.dat;749624918.38;0.48977881937;1083711.5287;279.52598024;0.5792481691406757
dcsH1He0el_1000log10e_-0320.dat;749624918.38;0.47863009232;1071306.3854;292.05010603;0.605201309266385
dcsH1He0el_1000log10e_-0330.dat;749624918.38;0.46773514129;1059043.2426;304.62623246;0.6312622078032744
dcsH1He0el_1000log10e_-0340.dat;749624918.38;0.45708818961;1046920.4749;296.27074213;0.6139475293187571
dcsH1He0el_1000log10e_-0350.dat;749624918.38;0.44668359215;1034936.4753;298.09988261;0.6177379686662245
dcsH1He0el_1000log10e_-0360.dat;749624918.38;0.43651583224;1023089.6554;299.49779171;0.6206347880820973
dcsH1He0el_1000log10e_-0370.dat;749624918.38;0.4265795188;1011378.445;301.61462545;0.6250214002575288
dcsH1He0el_1000log10e_-0380.dat;749624918.38;0.41686938347;999801.29164;308.14572195;0.6385554756477944
dcsH1He0el_1000log10e_-0390.dat;749624918.38;0.4073802778;988356.66089;323.53842028;0.6704530199051542
dcsH1He0el_1000log10e_-0400.dat;749624918.38;0.39810717055;977043.03575;330.77565643;0.6854503943385676
dcsH1He0el_1000log10e_-0410.dat;749624918.38;0.38904514499;965858.91661;343.28948517;0.711382196385595
dcsH1He0el_1000log10e_-0420.dat;749624918.38;0.38018939632;954802.82101;354.06013507;0.7337016932340579
dcsH1He0el_1000log10e_-0430.dat;749624918.38;0.3715352291;943873.2835;359.98578696;0.7459811350422949
dcsH1He0el_1000log10e_-0440.dat;749624918.38;0.36307805477;933068.85537;359.23766576;0.7444308396635854
dcsH1He0el_1000log10e_-0450.dat;749624918.38;0.35481338923;922388.1045;353.53436846;0.7326121725176783
dcsH1He0el_1000log10e_-0460.dat;749624918.38;0.34673685045;911829.61518;353.53059769;0.7326043585333865
dcsH1He0el_1000log10e_-0470.dat;749624918.38;0.33884415614;901391.98789;359.43313565;0.7448359024624258
dcsH1He0el_1000log10e_-0480.dat;749624918.38;0.33113112148;891073.83912;367.42268982;0.7613922691416491
dcsH1He0el_1000log10e_-0490.dat;749624918.38;0.32359365693;880873.80123;377.27638591;0.7818116069595523
dcsH1He0el_1000log10e_-0500.dat;749624918.38;0.31622776602;870790.52221;387.05993713;0.8020855869560208
dcsH1He0el_1000log10e_-0510.dat;749624918.38;0.30902954325;860822.66553;391.84870903;0.8120091273479575
dcsH1He0el_1000log10e_-0520.dat;749624918.38;0.30199517204;850968.90996;372.69692049;0.7723218022626849
dcsH1He0el_1000log10e_-0530.dat;749624918.38;0.29512092267;841227.9494;369.705009;0.7661218087904307
dcsH1He0el_1000log10e_-0540.dat;749624918.38;0.28840315031;831598.49269;363.89726273;0.7540866970958302
dcsH1He0el_1000log10e_-0550.dat;749624918.38;0.28183829313;822079.26346;356.89220053;0.739570445509546
dcsH1He0el_1000log10e_-0560.dat;749624918.38;0.27542287033;812668.99995;351.72869571;0.7288703642120364
dcsH1He0el_1000log10e_-0570.dat;749624918.38;0.26915348039;803366.45483;352.82786727;0.731148124272675
dcsH1He0el_1000log10e_-0580.dat;749624918.38;0.26302679919;794170.39506;358.4166549;0.7427294985678801
dcsH1He0el_1000log10e_-0590.dat;749624918.38;0.25703957828;785079.60173;364.57438985;0.7554898748762954
dcsH1He0el_1000log10e_-0600.dat;749624918.38;0.25118864315;776092.86984;370.04957953;0.7668358456340578
dcsH1He0el_1000log10e_-0610.dat;749624918.38;0.24547089157;767209.00822;373.51959137;0.7740265833375467
dcsH1He0el_1000log10e_-0620.dat;749624918.38;0.2398832919;758426.83932;373.07146919;0.773097961418062
dcsH1He0el_1000log10e_-0630.dat;749624918.38;0.23442288153;749745.19909;366.78180919;0.7600642032092928
dcsH1He0el_1000log10e_-0640.dat;749624918.38;0.22908676528;741162.93676;354.84253395;0.7353230205911379
dcsH1He0el_1000log10e_-0650.dat;749624918.38;0.22387211386;732678.91478;359.26822784;0.7444941719837865
dcsH1He0el_1000log10e_-0660.dat;749624918.38;0.21877616239;724292.00859;364.60282473;0.755548799102822
dcsH1He0el_1000log10e_-0670.dat;749624918.38;0.21379620895;716001.10653;372.47131672;0.7718542944817927
dcsH1He0el_1000log10e_-0680.dat;749624918.38;0.20892961309;707805.10964;384.08361987;0.7959179086523565
dcsH1He0el_1000log10e_-0690.dat;749624918.38;0.20417379447;699702.93155;399.98074598;0.8288607542007725
dcsH1He0el_1000log10e_-0700.dat;749624918.38;0.1995262315;691693.49832;419.07452553;0.8684278700617637
dcsH1He0el_1000log10e_-0710.dat;749624918.38;0.19498445998;683775.74832;421.51763016;0.8734905976219408
dcsH1He0el_1000log10e_-0720.dat;749624918.38;0.1905460718;675948.63205;431.68664379;0.8945633527271608
dcsH1He0el_1000log10e_-0730.dat;749624918.38;0.18620871367;668211.11205;438.44904694;0.908576753700714
dcsH1He0el_1000log10e_-0740.dat;749624918.38;0.18197008586;660562.1627;441.63090741;0.9151703692570431
dcsH1He0el_1000log10e_-0750.dat;749624918.38;0.177827941;653000.77015;441.52400828;0.9149488473602874
dcsH1He0el_1000log10e_-0760.dat;749624918.38;0.17378008287;645525.93214;439.58225837;0.910925052937562
dcsH1He0el_1000log10e_-0770.dat;749624918.38;0.16982436525;638136.6579;439.78311897;0.9113412866440054
dcsH1He0el_1000log10e_-0780.dat;749624918.38;0.16595869074;630831.96798;467.11479254;0.9679793918440298
dcsH1He0el_1000log10e_-0790.dat;749624918.38;0.16218100974;623610.89416;478.41142456;0.991388855999822
dcsH1He0el_1000log10e_-0800.dat;749624918.38;0.15848931925;616472.47928;489.1935848;1.0137322051691513
dcsH1He0el_1000log10e_-0810.dat;749624918.38;0.15488166189;609415.77716;499.21455887;1.034498185054348
dcsH1He0el_1000log10e_-0820.dat;749624918.38;0.15135612484;602439.85245;507.42316326;1.051508478909771
dcsH1He0el_1000log10e_-0830.dat;749624918.38;0.14791083882;595543.78048;511.6119534;1.0601887061195148
dcsH1He0el_1000log10e_-0840.dat;749624918.38;0.14454397707;588726.6472;495.46009106;1.0267179830023854
dcsH1He0el_1000log10e_-0850.dat;749624918.38;0.14125375446;581987.549;494.84954138;1.0254527704307104
dcsH1He0el_1000log10e_-0860.dat;749624918.38;0.13803842646;575325.59261;490.35680684;1.0161426939415923
dcsH1He0el_1000log10e_-0870.dat;749624918.38;0.13489628826;568739.89501;483.64725767;1.0022388197144279
dcsH1He0el_1000log10e_-0880.dat;749624918.38;0.13182567386;562229.58327;476.00429222;0.9864006720763558
dcsH1He0el_1000log10e_-0890.dat;749624918.38;0.12882495517;555793.79445;469.09314168;0.9720790290809054
dcsH1He0el_1000log10e_-0900.dat;749624918.38;0.12589254118;549431.67549;465.19413617;0.9639993085440244
dcsH1He0el_1000log10e_-0910.dat;749624918.38;0.12302687708;543142.38311;467.79796734;0.9693951019392536
dcsH1He0el_1000log10e_-0920.dat;749624918.38;0.12022644346;536925.08366;488.68580624;1.0126799602187666
dcsH1He0el_1000log10e_-0930.dat;749624918.38;0.11748975549;530778.95305;489.9483412;1.0152962503518992
dcsH1He0el_1000log10e_-0940.dat;749624918.38;0.11481536215;524703.17662;489.68344537;1.0147473195354906
dcsH1He0el_1000log10e_-0950.dat;749624918.38;0.11220184543;518696.94902;487.76556292;1.0107729844957363
dcsH1He0el_1000log10e_-0960.dat;749624918.38;0.10964781961;512759.47415;483.62035256;1.0021830655562824
dcsH1He0el_1000log10e_-0970.dat;749624918.38;0.10715193052;506889.96498;476.36193508;0.9871417980771782
dcsH1He0el_1000log10e_-0980.dat;749624918.38;0.10471285481;501087.64353;464.84560972;0.9632770740387157
dcsH1He0el_1000log10e_-0990.dat;749624918.38;0.10232929923;495351.74071;459.47461333;0.9521470179963489
dcsH1He0el_1000log10e_-1000.dat;749624918.38;0.1;489681.49622;462.25209544;0.957902659835641
dcsH1He0el_1000log10e_-1010.dat;749624918.38;0.097723722096;484076.15849;464.89336391;0.9633760327369466
dcsH1He0el_1000log10e_-1020.dat;749624918.38;0.095499258602;478534.98452;469.0173374;0.9719219435378538
dcsH1He0el_1000log10e_-1030.dat;749624918.38;0.09332543008;473057.23985;475.50549719;0.9853670432606876
dcsH1He0el_1000log10e_-1040.dat;749624918.38;0.091201083936;467642.19841;485.07116275;1.0051895093423182
dcsH1He0el_1000log10e_-1050.dat;749624918.38;0.089125093813;462289.14243;498.23697943;1.0324723944629925
dcsH1He0el_1000log10e_-1060.dat;749624918.38;0.087096358996;456997.36237;515.17692782;1.0675762301845242
dcsH1He0el_1000log10e_-1070.dat;749624918.38;0.08511380382;451766.15682;535.77559977;1.1102618617795634
dcsH1He0el_1000log10e_-1080.dat;749624918.38;0.08317637711;446594.83239;546.74571325;1.1329946973574927
dcsH1He0el_1000log10e_-1090.dat;749624918.38;0.081283051616;441482.70361;555.96505157;1.1520994862503295
dcsH1He0el_1000log10e_-1100.dat;749624918.38;0.079432823472;436429.0929;563.23372969;1.167162016357434
dcsH1He0el_1000log10e_-1110.dat;749624918.38;0.077624711663;431433.33038;568.60739926;1.1782976119014223
dcsH1He0el_1000log10e_-1120.dat;749624918.38;0.075857757503;426494.75389;572.07423421;1.1854817662894195
dcsH1He0el_1000log10e_-1130.dat;749624918.38;0.07413102413;421612.70881;573.77664612;1.1890095921507011
dcsH1He0el_1000log10e_-1140.dat;749624918.38;0.072443596007;416786.54804;574.23667569;1.1899628891785632
dcsH1He0el_1000log10e_-1150.dat;749624918.38;0.070794578438;412015.63188;574.73852151;1.1910028399987924
dcsH1He0el_1000log10e_-1160.dat;749624918.38;0.069183097092;407299.32794;627.08567854;1.299479321660041
